"Classification","xDim","yDim"
"CD3",164.1544,1.03189999999995
"CD3: CD8",204.0544,2.73190000000022
"CD3",97.7544,1.13190000000031
"CD3",28.4544000000001,2.03189999999995
"CD3",61.4544000000001,2.13190000000031
"Neither",122.9544,3.43190000000004
"Neither",85.9544000000001,5.33190000000013
"Neither",131.1544,4.73190000000022
"CD3",76.7544,6.23190000000022
"CD3",25.2544,7.93190000000004
"Neither",107.8544,8.53189999999995
"Neither",95.8543999999999,8.13190000000031
"CD3",119.0544,9.33190000000013
"CD3",35.7544,9.83190000000013
"PanCK",163.6544,10.9319
"Neither",58.2544,10.5319
"CD3",70.0544,12.5319
"CD3",140.3544,15.1319000000003
"Neither",82.9544000000001,14.3319000000001
"Neither",93.8543999999999,16.7319000000002
"Neither",49.5544,20.3319000000001
"CD3",12.2544,21.4319
"CD3",63.0544,23.0319
"CD3: CD8",149.1544,23.5319
"Neither",20.2544,24.5319
"Neither",206.2544,25.2319000000002
"CD3",99.4544000000001,27.7319000000002
"Neither",183.6544,26.7319000000002
"Neither",142.2544,29.0319
"Neither",9.05439999999999,30.3319000000001
"CD3",71.3543999999999,31.5319
"Neither",162.9544,32.9319
"CD3: CD8",199.7544,30.6319000000003
"CD3",19.1543999999999,33.1319000000003
"CD3",126.1544,33.0319
"Neither",113.5544,37.4319
"CD3",199.2544,38.7319000000002
"CD3",137.7544,37.3319000000001
"CD3",10.4544000000001,40.3319000000001
"CD3",52.1543999999999,43.4319
"Neither",80.7544,42.6319000000003
"CD3",167.5544,43.5319
"CD3",91.6543999999999,45.6319000000003
"PanCK",133.5544,46.2319000000002
"CD3",121.2544,47.8319000000001
"CD3",0.654399999999896,48.2319000000002
"CD3",18.6543999999999,50.1319000000003
"CD3",69.3543999999999,47.7319000000002
"CD3",9.75440000000003,48.1319000000003
"Neither",104.8544,50.6319000000003
"PanCK",44.2544,51.4319
"Neither",60.9544000000001,54.2319000000002
"CD3",7.55439999999999,54.3319000000001
"CD3",147.8544,53.9319
"CD3",88.0544,54.5319
"CD3: CD8",182.8544,55.4319
"CD3",35.4544000000001,56.4319
"PanCK",26.6543999999999,56.6319000000003
"PanCK",11.6543999999999,55.9319
"Neither",212.1544,57.2319000000002
"CD3",0.354399999999941,57.6319000000003
"CD3",47.2544,60.4319
"CD3",20.6543999999999,62.3319000000001
"CD3",154.6544,62.3319000000001
"PanCK",12.6543999999999,61.3319000000001
"CD3",31.5544,67.8319000000001
"CD3",131.2544,64.6319000000003
"CD3",203.0544,65.1319000000003
"PanCK",58.2544,66.4319
"PanCK",13.9544000000001,69.6319000000003
