Classification,Parent,Centroid X µm,Centroid Y µm
,Annotation,812.21,7.39
,Annotation,900.29,1.503
,Annotation,961.77,4.929
,Annotation,1043.5,3.03
,Annotation,1052.2,2.758
,Annotation,1037.3,7.183
,Annotation,1130.8,5.952
,Annotation,869.48,5.307
,Annotation,908.33,8.735
,Annotation,877.53,4.74
,Annotation,1051.1,11.71
,Annotation,878.54,12.08
,Annotation,963.14,13.3
,Annotation,1045.8,18.52
,Annotation,1009.7,21.39
,Annotation,964.77,22.75
,Annotation,1156.9,25.16
,Annotation,1026.1,22.51
,Annotation,800.28,25.81
,Annotation,1034.1,29.42
,Annotation,958.6,31.09
,Annotation,969.9,31.55
,Annotation,1081.8,33.75
,Annotation,1023,33.26
,Annotation,1009.4,35.02
,Annotation,891.14,33.48
,Annotation,786.3,36.04
,Annotation,1045,35.55
,Annotation,971.75,37.9
,Annotation,903.28,39.21
,Annotation,949.66,40.06
,Annotation,810.6,46.84
,Annotation,962.02,44.14
,Annotation,1048.4,42.71
,Annotation,979.75,40.14
,Annotation,766.68,50.65
,Annotation,1080.8,47.25
,Annotation,895.3,46.19
,Annotation,1008,45.99
,Annotation,980.83,46.8
,Annotation,912.6,47.22
,Annotation,757.2,48.09
,Annotation,1097.4,48.32
,Annotation,1052.9,50.74
,Annotation,954.43,48.99
,Annotation,792.68,50.47
,Annotation,827.11,50.13
,Annotation,1035.7,50.44
,Annotation,965.12,51.14
,Annotation,973.92,53.36
,Annotation,948.58,51.32
,Annotation,1012.5,55.15
,Annotation,891.43,54.18
,Annotation,754.34,62.91
,Annotation,897.57,59.91
,Annotation,1093.9,55.08
,Annotation,1048.8,60.39
,Annotation,825.59,55.73
,Annotation,1039.4,56.11
,Annotation,820.55,58.42
,Annotation,1082.4,60.09
,Annotation,1099.1,59.82
,Annotation,980.66,62.06
,Annotation,883.87,62.43
,Annotation,1015.9,61.9
,Annotation,829.31,65.07
,Annotation,872.52,60.89
,Annotation,1092.7,69.35
,Annotation,1041.5,65.95
,Annotation,974.41,62.74
,Annotation,905.68,64.85
,Annotation,1068.2,67.62
,Annotation,875.46,66.33
,Annotation,900.06,68.63
,Annotation,1081.3,75.71
,Annotation,878.46,73.56
,Annotation,983.36,73.62
,Annotation,892.24,72.61
,Annotation,1051.3,80.5
,Annotation,906.17,76.27
,Annotation,832.63,77.9
,Annotation,1039.4,76.59
,Annotation,761.9,89.55
,Annotation,796.39,79.5
,Annotation,1073.3,80.08
,Annotation,1096.9,84.68
,Annotation,868.49,79.32
,Annotation,1065.4,81.97
,Annotation,981.69,85.07
,Annotation,988.2,84.78
,Annotation,910.13,86.52
,Annotation,802.29,90.47
,Annotation,1081.6,88.54
,Annotation,926.24,90.28
,Annotation,1076,94.32
,Annotation,935.5,92.39
,Annotation,908.34,93.68
,Annotation,1092.9,103.79
,Annotation,1058.9,95.26
,Annotation,824.76,107.49
,Annotation,1101.9,101.63
,Annotation,840.36,101.7
,Annotation,939.16,100.73
,Annotation,1081.4,104.96
,Annotation,776.95,108.55
,Annotation,942.22,106.62
,Annotation,846.53,111.18
,Annotation,1003.1,115.89
,Annotation,951.93,115.94
,Annotation,908.21,114.94
