"Classification","xDim","yDim"
"PanCK",201.525,1.32499999999891
"PanCK",436.825000000001,0.125
"PanCK",306.325,0.924999999999272
"PanCK",315.725,1.32499999999891
"PanCK",534.924999999999,2.125
"PanCK",594.424999999999,1.32499999999891
"PanCK",3.625,-0.275000000001455
"PanCK",362.125,1.625
"Neither",26.5249999999996,4.625
"PanCK",139.625,1.52499999999964
"PanCK",418.825000000001,1.125
"PanCK",523.625,4.32499999999891
"PanCK",11.0249999999996,2.32499999999891
"CD68",477.325000000001,2.02499999999964
"PanCK",562.424999999999,0.924999999999272
"PanCK",53.2250000000004,2.72499999999854
"PanCK",82.5249999999996,4.22499999999854
"PanCK",70.625,1.32499999999891
"PanCK",89.625,3.22499999999854
"PanCK",161.025,3.72499999999854
"PanCK",175.625,1.72499999999854
"PanCK",224.725,4.82499999999891
"PanCK",283.325,2.625
"PanCK",180.925,5.52499999999964
"Neither",105.225,4.22499999999854
"Neither",493.225,3.625
"PanCK",150.125,5.52499999999964
"PanCK",340.625,5.02499999999964
"PanCK",424.225,8.125
"PanCK",244.125,7.42499999999927
"PanCK",331.325000000001,6.32499999999891
"CD68",369.625,6.42499999999927
"PanCK",44.4250000000002,6.42499999999927
"PanCK",189.925,5.22499999999854
"PanCK",253.625,6.42499999999927
"Neither",462.525,6.72499999999854
"PanCK",234.625,4.52499999999964
"PanCK",299.425,8.72499999999854
"PanCK",353.924999999999,8.625
"PanCK",603.225,6.22499999999854
"PanCK",267.425,4.52499999999964
"PanCK",435.125,8.02499999999964
"PanCK",72.0249999999996,10.4249999999993
"PanCK",172.025,5.72499999999854
"PanCK",277.625,7.42499999999927
"PanCK",36.7250000000004,8.82499999999891
"PanCK",212.425,7.82499999999891
"PanCK",572.125,6.02499999999964
"PanCK",556.125,8.625
"PanCK",2.125,9.22499999999854
"Neither",376.225,7.52499999999964
"Neither",472.924999999999,9.22499999999854
"Neither",513.625,10.7249999999985
"PanCK",316.525,9.92499999999927
"Neither",446.825000000001,7.42499999999927
"PanCK",57.4250000000002,8.625
"PanCK",270.125,9.125
"PanCK",121.125,12.8249999999989
"PanCK",157.325,8.92499999999927
"PanCK",546.424999999999,8.82499999999891
"PanCK",595.625,10.3249999999989
"PanCK",231.125,12.7249999999985
"Neither",501.025,9.52499999999964
"Neither",99.8249999999998,12.7249999999985
"PanCK",128.425,9.52499999999964
"PanCK",168.425,13.5249999999996
"Neither: PD-L1",492.125,10.9249999999993
"PanCK",136.925,8.72499999999854
"PanCK",205.025,12.2249999999985
"PanCK",383.725,11.5249999999996
"CD68",399.325000000001,9.52499999999964
"PanCK",264.725,11.3249999999989
"PanCK",324.325000000001,10.0249999999996
"PanCK",183.425,11.625
"PanCK",563.225,10.2249999999985
"PanCK",537.924999999999,13.625
"PanCK",259.425,11.5249999999996
"PanCK",364.125,11.3249999999989
"PanCK",392.825000000001,13.7249999999985
"PanCK",21.625,13.625
"PanCK",290.425,14.0249999999996
"PanCK",573.325000000001,15.2249999999985
"PanCK",328.125,14.5249999999996
"PanCK",342.825000000001,15.2249999999985
"PanCK",429.825000000001,15.8249999999989
"Neither",449.325000000001,14.0249999999996
"PanCK",134.725,13.9249999999993
"PanCK",158.025,13.7249999999985
"PanCK",195.825,16.8249999999989
"CD68",465.125,17.5249999999996
"CD68",89.4250000000002,15.0249999999996
"PanCK",147.925,13.4249999999993
"PanCK",279.525,16.0249999999996
"PanCK",141.525,15.9249999999993
"PanCK",199.525,13.8249999999989
"PanCK",372.225,17.7249999999985
"Neither",54.4250000000002,15.9249999999993
"Neither",504.424999999999,14.3249999999989
"PanCK",33.0249999999996,16.5249999999996
"PanCK",221.725,19.9249999999993
"PanCK",353.625,21.4249999999993
"PanCK",269.825,16.9249999999993
"PanCK",310.225,17.0249999999996
"PanCK",364.325000000001,16.9249999999993
"PanCK",41.0249999999996,18.7249999999985
"PanCK",179.925,19.7249999999985
"PanCK",240.825,17.8249999999989
"PanCK",524.525,19.125
"PanCK",111.725,21.125
"PanCK",188.525,18.0249999999996
"PanCK",321.625,17.125
"Neither",495.625,16.9249999999993
"PanCK",560.725,19.5249999999996
"Neither",0.125,20.125
"PanCK",152.525,18.2249999999985
"PanCK",255.625,17.9249999999993
"Neither",501.025,17.7249999999985
"CD68",65.0249999999996,18.5249999999996
"PanCK",315.325,19.4249999999993
"PanCK",160.625,23.2249999999985
"PanCK",28.0249999999996,21.8249999999989
"PanCK",334.725,21.8249999999989
"CD68",551.225,20.125
"PanCK",208.725,23.4249999999993
"PanCK",416.525,19.3249999999989
"Neither",83.625,22.2249999999985
"PanCK",384.125,20.7249999999985
"Neither",484.225,22.2249999999985
"Neither",494.125,22.4249999999993
"Neither",508.825000000001,24.0249999999996
"PanCK",147.125,19.8249999999989
"PanCK",295.725,21.125
"PanCK",304.325,19.3249999999989
"Neither",435.325000000001,21.9249999999993
"Neither",14.9250000000002,25.4249999999993
"PanCK",133.625,21.125
"Neither",450.625,21.9249999999993
"PanCK",595.424999999999,21.9249999999993
"PanCK",538.325000000001,21.625
"Neither",7.32499999999982,20.9249999999993
"PanCK",401.924999999999,22.8249999999989
"PanCK",586.924999999999,23.7249999999985
"PanCK",234.325,24.8249999999989
"PanCK",422.525,24.7249999999985
"Neither",501.525,24.7249999999985
"Neither",51.7250000000004,23.125
"PanCK",171.325,20.9249999999993
"PanCK",281.825,23.0249999999996
"PanCK",288.425,22.125
"CD68",247.225,27.625
"PanCK",270.725,24.125
"Neither",470.525,25.3249999999989
"PanCK",601.825000000001,23.8249999999989
"PanCK",323.025,25.5249999999996
"PanCK",142.725,25.7249999999985
"PanCK",565.525,23.625
"PanCK",102.025,26.0249999999996
"Neither",259.625,25.4249999999993
"PanCK",129.225,27.625
"PanCK",151.925,24.0249999999996
"PanCK",410.325000000001,23.7249999999985
"CD68",62.7250000000004,25.625
"PanCK",170.525,26.625
"PanCK",301.625,29.5249999999996
"Neither",441.525,26.5249999999996
"PanCK",612.325000000001,27.2249999999985
"PanCK",41.9250000000002,25.5249999999996
"PanCK",120.225,28.2249999999985
"PanCK",192.225,25.2249999999985
"PanCK",531.725,26.5249999999996
"PanCK",570.825000000001,25.9249999999993
"Neither",73.8249999999998,29.5249999999996
"PanCK",376.424999999999,25.4249999999993
"PanCK",285.025,30.8249999999989
"PanCK",312.025,26.3249999999989
"Neither",460.825000000001,25.7249999999985
"CD68: PD-L1",548.725,29.7249999999985
"PanCK",406.125,27.9249999999993
"Neither",489.025,30.125
"PanCK",541.325000000001,27.8249999999989
"PanCK",25.625,30.5249999999996
