"Classification","xDim","yDim"
"PanCK",49.5500000000011,-0.924999999999272
"PanCK",294.450000000001,-0.225000000000364
"Neither",193.050000000001,2.97500000000036
"Neither",81.1500000000015,3.375
"Neither",124.450000000001,0.975000000000364
"Neither",66.1500000000015,1.875
"PanCK",176.150000000001,0.674999999999272
"PanCK",149.650000000001,2.375
"Neither",110.650000000001,4.27499999999964
"PanCK",319.150000000001,4.375
"PanCK",363.75,4.97500000000036
"PanCK",201.85,3.27499999999964
"PanCK",164.35,5.875
"CD68",256.550000000001,8.17499999999927
"PanCK",169.650000000001,6.375
"Neither",332.150000000001,10.4750000000004
"PanCK",29.75,10.4750000000004
"PanCK",153.550000000001,11.9750000000004
"PanCK",441.85,12.7749999999996
"CD68",212.75,10.9750000000004
"Neither",224.950000000001,11.7749999999996
"PanCK",167.050000000001,13.1749999999993
"PanCK",466.950000000001,14.4750000000004
"PanCK",307.25,13.1749999999993
"PanCK: PD-L1",44.6500000000015,14.5750000000007
"Neither",297.550000000001,14.4750000000004
"PanCK",408.950000000001,12.7749999999996
"Neither",83.9500000000007,14.5750000000007
"CD68: PD-L1",398.650000000001,13.9750000000004
"CD68",256.950000000001,16.875
"Neither",273.950000000001,15.5750000000007
"Neither",103.650000000001,17.875
"PanCK",33.8500000000004,21.6749999999993
"PanCK",53.3500000000004,18.2749999999996
"PanCK",20.6500000000015,19.2749999999996
"PanCK",348.650000000001,20.7749999999996
"PanCK",324.25,23.875
"PanCK",301.25,22.4750000000004
"Neither",249.35,21.4750000000004
"Neither",199.450000000001,23.9750000000004
"Neither",90.0500000000011,22.7749999999996
"PanCK",398.450000000001,25.375
"Neither",263.050000000001,22.2749999999996
"PanCK",358.550000000001,24.9750000000004
"PanCK",458.550000000001,25.375
"PanCK",8.85000000000036,27.7749999999996
"Neither",314.650000000001,24.9750000000004
"Neither",279.85,27.2749999999996
"Neither",117.35,28.1749999999993
"PanCK",256.85,28.2749999999996
"Neither",70.1500000000015,27.6749999999993
"Neither",240.150000000001,26.7749999999996
"CD68",177.85,28.4750000000004
"PanCK",25.25,29.7749999999996
"PanCK",740.550000000001,0.875
"Neither",613.550000000001,-0.424999999999272
"CD68",596.25,4.17499999999927
"PanCK",449.950000000001,3.875
"PanCK",490.950000000001,6.27499999999964
"PanCK",541.25,1.875
"Neither",607.25,4.875
"PanCK",528.150000000001,3.07500000000073
"PanCK",514.550000000001,9.47500000000036
"PanCK",728.950000000001,5.17499999999927
"PanCK",679.25,8.27499999999964
"PanCK",694.75,10.2749999999996
"PanCK",734.950000000001,8.27499999999964
"Neither",565.150000000001,10.5750000000007
"Neither",638.25,8.57500000000073
"Neither",509.550000000001,9.27499999999964
"PanCK",522.35,12.7749999999996
"PanCK",669.650000000001,16.4750000000004
"PanCK",703.85,14.875
"Neither",546.450000000001,15.9750000000004
"PanCK",723.050000000001,18.375
"PanCK",461.450000000001,18.7749999999996
"PanCK",660.150000000001,24.375
"Neither",527.75,18.1749999999993
"PanCK",533.85,20.4750000000004
"CD68",592.25,21.875
"PanCK",615.75,20.0750000000007
"PanCK",703.050000000001,25.2749999999996
"CD68: PD-L1",502.75,24.6749999999993
"PanCK",470.35,24.1749999999993
"PanCK",648.35,26.6749999999993
"PanCK",638.35,24.0750000000007
"PanCK",610.75,26.4750000000004
"PanCK",450.85,26.875
"PanCK",532.950000000001,29.875
"PanCK",674.150000000001,29.2749999999996
"PanCK",597.35,30.5750000000007
"PanCK",571.75,30.4750000000004
"Neither",284.25,-0.725000000000364
"PanCK",157.950000000001,-0.125
"PanCK",412.550000000001,3.27499999999964
"Neither",268.150000000001,1.17499999999927
"PanCK",182.550000000001,3.07500000000073
"CD68: PD-L1",219.450000000001,3.57500000000073
"Neither",483.75,3.77499999999964
"Neither",99.4500000000007,3.57500000000073
"PanCK",3.85000000000036,5.17499999999927
"PanCK",31.4500000000007,3.375
"PanCK",458.35,2.47500000000036
"PanCK",373.950000000001,4.27499999999964
"Neither",132.35,2.27499999999964
"Neither",277.050000000001,4.27499999999964
"PanCK",309.550000000001,4.77499999999964
"PanCK",171.650000000001,3.47500000000036
"PanCK",12.25,4.875
"Neither",238.35,4.97500000000036
"PanCK",344.650000000001,7.875
"PanCK",40.9500000000007,6.27499999999964
"Neither",284.650000000001,7.17499999999927
"PanCK",49.0500000000011,8.07500000000073
"PanCK",291.650000000001,11.9750000000004
"CD68",56.25,9.27499999999964
"Neither",196.85,11.2749999999996
"Neither",130.950000000001,10.6749999999993
"PanCK",12.75,11.9750000000004
"PanCK",175.150000000001,15.2749999999996
"Neither",69.0500000000011,12.5750000000007
"PanCK",159.950000000001,10.7749999999996
"PanCK",317.150000000001,11.7749999999996
"Neither",189.650000000001,13.6749999999993
"CD68",204.550000000001,13.7749999999996
"Neither",282.150000000001,13.1749999999993
"PanCK",378.950000000001,13.7749999999996
"PanCK",456.85,14.1749999999993
"Neither",233.75,13.6749999999993
"PanCK",451.35,14.1749999999993
"Neither",146.450000000001,14.2749999999996
"PanCK",360.85,14.5750000000007
"PanCK",369.35,15.0750000000007
"PanCK",1.85000000000036,17.6749999999993
"PanCK",416.450000000001,15.7749999999996
"PanCK",390.450000000001,16.875
"Neither",247.550000000001,14.9750000000004
"Neither",114.950000000001,17.6749999999993
"Neither",240.650000000001,17.6749999999993
"Neither",336.35,19.2749999999996
"PanCK",354.950000000001,17.1749999999993
"Neither",220.85,19.0750000000007
"PanCK",407.25,22.2749999999996
"PanCK",434.450000000001,21.5750000000007
"Neither",76.25,21.6749999999993
"Neither",271.150000000001,21.7749999999996
"Neither",134.75,22.375
