Classification,Centroid X µm,Centroid Y µm
SOX2,71.44,2.3
SOX2: Ki67,313.48,2.781
SOX2: Ki67,356.09,2.526
SOX2,438.09,1.152
SOX2,78.28,4.722
SOX2,167.91,3.225
SOX2: Ki67,17.54,3.035
Neither,334.49,5.474
SOX2,444.46,4.151
SOX2,107.96,6.153
Iba1: Ki67,326.47,3.567
SOX2,432.16,5.71
SOX2: Ki67,3.062,4.91
SOX2: Ki67,88.91,7.462
SOX2,173.45,6.987
Neither,301.32,7.388
SOX2,439.89,7.871
SOX2,315.59,8.717
SOX2: Ki67,22.25,8.337
SOX2: Ki67,10.66,10.5
SOX2,223.59,8.29
SOX2,344.23,9.704
SOX2,65.04,10.25
SOX2,98.52,12.57
SOX2,352.76,11.21
SOX2: Ki67,404.59,11.15
SOX2: Ki67,3.172,11.64
SOX2,78.79,11.9
SOX2,177.33,12.83
SOX2,365.6,11.86
SOX2,211.67,14.51
SOX2,34.38,12.54
SOX2,426.06,13.3
Iba1,231.97,12.17
SOX2,380.96,15.89
SOX2,434.26,16.16
SOX2,23.45,15.39
SOX2,114.64,16.34
SOX2: Ki67,225.72,17.11
SOX2: Ki67,396.17,16.74
SOX2,442.36,19
SOX2,2.555,18.95
SOX2,193.46,17.06
SOX2: Ki67,13.02,20.08
SOX2: Ki67,128.76,19.18
SOX2: Ki67,181.87,18.93
Iba1,283.35,20.46
Iba1,233.79,19.05
SOX2,55.15,18.96
SOX2,76.25,20.69
SOX2: Ki67,27.35,21.81
SOX2,418.31,23.28
SOX2: Ki67,45.81,20.92
SOX2,364.64,22.7
SOX2,371.65,21.99
SOX2: Ki67,188.3,24.73
SOX2,223.49,23.8
SOX2: Ki67,390.19,24.26
SOX2: Ki67,60.54,26.42
SOX2,209.46,25.96
SOX2: Ki67,431.53,28.5
SOX2: Ki67,34.96,27.01
SOX2,125.31,25.82
SOX2,118.94,26.23
SOX2,171.5,28.02
SOX2: Ki67,197.74,26.59
SOX2: Ki67,249.34,26.56
SOX2,137.54,28.09
SOX2,353.36,27.64
SOX2,257.02,27.81
SOX2,341.87,29.27
SOX2: Ki67,50.68,27.93
SOX2,233.87,28.2
SOX2: Ki67,45.15,29.65
SOX2: Ki67,73.08,30.22
SOX2,314.76,30.01
SOX2,327.62,29.38
SOX2: Ki67,23.26,30.54
SOX2,242.48,31.87
SOX2,274.92,29.96
SOX2: Ki67,185.4,32.21
SOX2: Ki67,128.91,33.19
SOX2: Ki67,193.95,32.73
SOX2,216.55,31.7
SOX2,223.56,33.48
SOX2,441.27,31.06
SOX2,229.59,33.25
SOX2: Ki67,53.97,32.87
SOX2,205.01,33.49
SOX2,383.16,32.45
Iba1,83.92,35.15
SOX2,116.03,35.81
SOX2: Ki67,40.22,34.59
SOX2,367.4,33.83
SOX2,264.17,33.38
SOX2,410.51,36.26
SOX2: Ki67,144.97,36.45
SOX2,301.89,36.37
SOX2,269.55,36.05
SOX2,444.05,37.83
SOX2,4.855,37.16
SOX2,61.34,38.72
SOX2,273.47,37.24
SOX2,324.35,37.5
SOX2: Ki67,335.73,37.71
SOX2: Ki67,236.61,39.51
SOX2: Ki67,24.97,38.58
SOX2,167.27,39.67
SOX2,282.52,39.41
Iba1: Ki67,430.39,37.24
SOX2,259.64,38.43
SOX2,135.67,40.04
SOX2,48.26,41.3
SOX2,70.18,37.81
SOX2: Ki67,375.25,39.26
SOX2,385.71,39.43
SOX2,156.74,39.8
SOX2: Ki67,203.67,39.9
SOX2: Ki67,184.62,40.95
SOX2,249.96,40.18
SOX2: Ki67,347.38,38.64
Neither,424.48,41.03
SOX2: Ki67,217.17,41.68
SOX2,36.24,43.49
SOX2: Ki67,195.54,44.55
SOX2: Ki67,365.79,43.41
SOX2: Ki67,75.62,44.55
Iba1: Ki67,107.8,42.05
SOX2,293.57,42.19
SOX2,390.38,44.17
SOX2: Ki67,227.32,43.31
SOX2,267.7,42.37
SOX2,256.31,45.87
SOX2,346.15,44.28
SOX2,321.8,46.36
SOX2,339.99,45.88
SOX2,299.91,46.61
SOX2,352.71,45.97
Neither,437.68,47.75
SOX2,206.66,47.64
SOX2: Ki67,177.09,45.95
SOX2: Ki67,114.82,47.4
SOX2,271.69,47.33
SOX2: Ki67,104.25,47.32
SOX2: Ki67,246.24,49.02
SOX2,418.9,48.68
SOX2: Ki67,236.41,49.28
SOX2,11.34,49.59
SOX2,161.54,51.84
SOX2: Ki67,262.77,50.55
SOX2,168.27,49.09
SOX2,226.66,52.13
SOX2,292.4,50.21
SOX2,282.71,53.31
SOX2,96.17,52.86
SOX2,390.13,52.77
SOX2: Ki67,176.15,55.11
SOX2: Ki67,71.97,53.49
SOX2: Ki67,339.2,56.62
SOX2,308.74,55.24
SOX2,350.96,55.14
SOX2: Ki67,199.35,55.72
Iba1,443.62,56.94
SOX2: Ki67,36.41,56.29
SOX2,187.82,56.24
SOX2,318.51,55.59
SOX2,18.08,57.64
SOX2,299.49,56.03
SOX2: Ki67,113.91,57.56
SOX2,207.96,57.05
SOX2,292.56,59.25
SOX2: Ki67,244.13,57.99
SOX2: Ki67,64.12,60.25
SOX2,10.89,59.22
SOX2: Ki67,85.64,60.63
SOX2,133.76,59.45
SOX2: Ki67,402.92,61.64
Iba1: Ki67,237.26,61.71
SOX2,253.67,60.97
SOX2,384.17,61.75
SOX2,321.98,63.77
SOX2: Ki67,143.69,62.61
SOX2: Ki67,73.84,63.4
SOX2,368.22,62.35
SOX2,221.07,63.74
SOX2: Ki67,103.18,64.39
Iba1,350.8,64.18
SOX2,204.04,64.75
SOX2,305.54,64.51
SOX2,410.55,64.25
SOX2: Ki67,212.32,65.64
Neither,395.17,64.8
SOX2,45.08,64.76
SOX2,191.88,67.83
SOX2,331.22,66.32
SOX2,33.59,67.36
SOX2,197.28,65.12
SOX2,10.99,66.77
SOX2,260.39,68.22
Iba1,59.52,67.67
SOX2,249.9,69.26
SOX2: Ki67,130.21,69.06
SOX2,241.49,69.12
SOX2,417.04,69.45
SOX2,20.7,71.94
SOX2,357.72,70.99
SOX2: Ki67,79.26,70.97
SOX2,270.02,71.76
SOX2,311.47,72.47
SOX2: Ki67,215.83,72.82
SOX2,99.28,73.05
SOX2,281.95,72.35
SOX2,380.5,72.19
SOX2,140.83,74.22
Iba1,205.2,72.73
SOX2,45.84,74.41
SOX2,339.16,73.18
SOX2,224.86,75.25
SOX2,56.66,75.89
SOX2: Ki67,85.46,76.37
SOX2,329.25,75.86
SOX2,362.11,76.58
SOX2,14.87,79.16
SOX2,396.27,77.92
SOX2,249.67,79.05
SOX2,346.53,77.57
Iba1,3.791,79.14
SOX2,372.04,79.19
SOX2,415.21,77.03
SOX2,169.69,80.26
SOX2,240.04,79.83
SOX2: Ki67,195.01,81.69
SOX2,203.62,80.04
Iba1,149.44,81.05
SOX2,355.99,81.55
SOX2,383.04,81.9
SOX2,226.57,82.64
SOX2,423.28,83.32
SOX2: Ki67,108.91,85.05
SOX2,281.08,84
SOX2,11.36,84.56
SOX2: Ki67,412.95,85.2
SOX2,49.56,84.47
Iba1,65.8,85.33
SOX2,308.68,85.2
SOX2,339.22,83.67
Neither,328.46,85.23
Iba1,234.61,85.82
SOX2,210.35,89.03
SOX2,117.51,87.68
Iba1,154.19,87.41
Neither,266.3,87.2
SOX2,346.18,89.72
SOX2,400.67,87.8
Iba1,243.73,87.06
Neither,42.23,86.12
Iba1,376.28,87.4
SOX2,37.27,89.87
SOX2,229.61,92.73
SOX2,355.56,90.82
SOX2,187.81,90.55
SOX2,9.537,92.09
Neither,170.63,91.51
Neither,247.05,91.86
SOX2,366.43,90.33
SOX2,2.408,93.99
Iba1,46.8,92.67
SOX2,124.66,90.33
SOX2,373.25,94.54
SOX2,415.39,92.71
Neither,133.67,92.41
SOX2,334.47,94.34
Iba1,31.29,94.92
SOX2,198.74,94.04
Neither,70.09,95.6
SOX2,385.15,96.63
Neither,360.58,98.04
SOX2,121.56,98.4
Iba1,208.28,98.4
SOX2,415.76,99.93
Iba1,48.14,101.69
Iba1,139.67,99.32
SOX2,239.41,101
SOX2,311.26,100.34
Iba1,403.31,99.55
SOX2,173.69,102.68
Iba1,23.58,100.57
SOX2,377.11,103.19
Iba1: Ki67,89.77,105.04
SOX2,325.04,105.18
Iba1,338.38,103.68
Iba1,57.92,101.54
Iba1,271.87,103.91
SOX2,198.95,103.77
SOX2: Ki67,229.46,105.07
SOX2,369.3,104.25
SOX2,260.73,104.71
Neither,134.22,106.45
SOX2,298.02,104.78
Neither,209.68,106.06
SOX2,65.8,107.01
SOX2,331.68,104.55
SOX2,387.99,106.95
Neither,126.13,109.07
Iba1,306.27,108.18
SOX2: Ki67,433.86,108.16
